"Academy of the Ministry of Internal Affairs of the Republic of Belarus,Belarus,http://academy.mia.by/"
"Belarussian State Academy of Music,Belarus,http://www.bgam.edu.by/"
"Belarussian State University of Transport,Belarus,http://www.belsut.gomel.by/"
"Belarusian-Russian University,Belarus,http://www.bru.mogilev.by/"
"Belarussian State Medical University,Belarus,http://www.bsmu.by/"
"Belarussian State Agricultural Academy,Belarus,http://www.baa.by/"
"Belarussian State Polytechnical Academy,Belarus,http://www.bspa.unibel.by/"
"Belarussian State Agrarian Technical University,Belarus,http://www.batu.edu.by/"
"Belarussian State Economic University,Belarus,http://www.bseu.by/"
"Belarussian State University of Culture and Arts,Belarus,http://www.buk.by/"
"Gomel State Medical University,Belarus,http://www.meduniver.gomel.by/"
"Belarussian State Pedagogical University M. Tanka,Belarus,http://www.bspu.unibel.by/"
"Vitebsk State Academy of Veterinary Medicine,Belarus,http://www.vsavm.com/"
"Gomel State Technical University Pavel Sukhoi,Belarus,http://www.gstu.gomel.by/"
"European Humanities University,Belarus,http://www.data.minsk.by/ehu/"
"Belarussian National Technical University,Belarus,http://www.bntu.by/"
"Brest State University,Belarus,http://www.brsu.brest.by/"
"Brest State Technical University,Belarus,http://www.bstu.by/"
"Mogilev State University A.A. Kuleshov,Belarus,http://msu.mogilev.by/"
"Vitebsk State Technological University,Belarus,http://www.vstu.vitebsk.by/"
"Mozyr State Pedagogical Institute,Belarus,http://www.mgpu.gomel.by/"
"Minsk Institute of Management,Belarus,http://www.miu.by/"
"Academy of Public Administration of Belarus,Belarus,http://www.pac.by/"
"Belarussian State University,Belarus,http://www.bsu.by/"
"Belarussian State Economic University,Belarus,http://www.bseu.by/"
"Vitebsk State University,Belarus,http://www.vsu.by/"
"Institute for Command Engineers of The Ministry for Emergency Situations,Belarus,http://www.kii.gov.by/"
"Belarussian State Medical University,Belarus,http://www.bsmu.by/"
"Belarusian-Russian University,Belarus,http://www.bru.mogilev.by/"
"Gomel State University Francisk Scarnia,Belarus,http://www.gsu.unibel.by/"
